"name","id.viaf","id.wiki","id.oape"
"محمود المرعشي الدمشقي","NA","NA","3433"
"محمود العطار","NA","NA","3434"
"محمود العطار","NA","NA","3435"
"محمود عبد القادر سعيد الرافعي","NA","NA","3437"
"مصطفى نجا","NA","NA","3438"
"مصطفى الغرييني","NA","NA","3439"
"مصطفى القباني","NA","NA","3442"
"ناصر المخزومي العرابي","NA","NA","3443"
"يوسف الخازن","NA","NA","3444"
"القفطي","NA","NA","3184"
"القلانسي","NA","NA","3185"
"ارتوركي","NA","NA","3478"
"اميل امار","NA","NA","3479"
"ايفانس","NA","NA","3480"
"باربيه دي مينار","NA","NA","3481"
"بارو توخى","NA","NA","5"
"بسيشاري","NA","NA","3482"
"بليو","NA","NA","3483"
"بونيون","NA","NA","3484"
"تارديو","NA","NA","3485"
"تروب","NA","NA","3486"
"تورنو","NA","NA","3487"
"جبرائيل مدينا","NA","NA","3488"
"دومر","NA","NA","3489"
"دي نوفيل","NA","NA","3490"
"ديشان","NA","NA","4121"
"رينود والبارون دميسلان","NA","NA","3491"
"ستيفان لدوك","NA","NA","3492"
"سلوش","NA","NA","3493"
"شاتليه","NA","NA","3494"
"شارل موليه","NA","NA","3495"
"شاشو","NA","NA","3496"
"فيكتور شوفين","NA","NA","3497"
"كلود فارير","NA","NA","3498"
"كولوزيو","NA","NA","3499"
"كومب","NA","NA","3500"
"لبلا","NA","NA","3501"
"لشاتليه","NA","NA","3502"
"لوران","NA","NA","3503"
"ليون غوتيه","NA","NA","3504"
"ليون كايتاني","NA","NA","3505"
"مارتين","NA","NA","3506"
"مرسيه","NA","NA","3507"
"هوتسما","NA","NA","3508"
"هوغو ونكلر","NA","NA","3509"
"واشنطون سويرس","NA","NA","3510"
"ت ف","NA","NA","6"
"تاج الدين الحسني","NA","NA","4123"
"جلال الدين الحسيني","NA","NA","4128"
"شمس الدين سامي الالباني","NA","NA","4207"
"احمد عباس الازهري","NA","NA","4152"
"شيهاب الدين","NA","NA","4153"
"ص","NA","NA","2934"
"صاحب جريدة الحبل","NA","NA","2936"
"صاحب جريدة عفريت","NA","NA","2938"
"صاحب مجلة الانثربوس","NA","NA","2939"
"صاحب مجلة العرب","NA","NA","2940"
"صاحب مجلة العرفان","NA","NA","2941"
"صاحب مجلة لغة","NA","NA","2943"
"صلاح الدين يوسف ابن ايوب","NA","NA","3313"
"ع","NA","NA","7"
"عبد الباقي سرور","NA","NA","4156"
"عبد الحليم حلمي","NA","NA","4209"
"عبد الرحمن بن عبد اللطيف الرافعي","NA","NA","4157"
"عبد المجيد","NA","NA","3314"
"عراقي","NA","NA","2947"
"م ح خ","NA","NA","8"
"محيي الدين القليبي","NA","NA","4176"
"ارتوركي","NA","NA","4211"
"ناظر في الكتاب","NA","NA","2968"
"'ALIYYU, BUU, L-HASAN 'EL-KHAZREJIYY","NA","NA","2978"
"Cantacuzène","NA","NA","2979"
"M E Montet","NA","NA","2983"
"مدام دي سفينية","NA","NA","2848"
"Maurice Ajam","NA","NA","2984"
"ميتراوهيشت","NA","NA","9"
"روهلفس","NA","NA","2986"
"S Colsio","NA","NA","2987"
"T.B.","NA","NA","2988"
"ا ا","NA","NA","1006"
"ا ب","NA","NA","1007"
"ا ج طرابلسي","NA","NA","1008"
"ا ح","NA","NA","1297"
"ا دوغو اليسوعي","NA","NA","1013"
"ا ز","NA","NA","1009"
"ا ز ا","NA","NA","10"
"ا غ","NA","NA","1010"
"ا غريفيني","NA","NA","1011"
"ا م","NA","NA","1012"
"ا.ج","NA","NA","11"
"اب انطوان رباط","NA","NA","2990"
"ابا السعود الحسيبي","NA","NA","2991"
"ابا بكر بن عمار","NA","NA","2992"
"ابراهيم الجمال","NA","NA","3147"
"ابراهيم سليم نجار","NA","NA","3148"
"ابراهيم فارس","NA","NA","3149"
"ابراهيم حمدي خربطلي","NA","NA","4201"
"ابراهيم الجنيني","NA","NA","4257"
"ابراهيم الراعي","NA","NA","4101"
"ابراهيم الصليبي","NA","NA","1184"
"ابراهيم الطباطبائي","NA","NA","1185"
"ابراهيم اللقاني","NA","NA","3150"
"ابراهيم المويلحي","NA","NA","3151"
"ابراهيم النجار","NA","NA","1187"
"ابراهيم الهلباوي","NA","NA","3152"
"ابراهيم المصري","NA","NA","3170"
"ابراهيم جرجس نخلة","NA","NA","1188"
"ابراهيم جمال","NA","NA","1189"
"ابراهيم جندي","NA","NA","4103"
"ابراهيم حداد","NA","NA","1190"
"ابراهيم حلمي طالب","NA","NA","1192"
"ابراهيم دادا","NA","NA","1194"
"ابراهيم رحباني","NA","NA","1195"
"ابراهيم زيدان","NA","NA","1196"
"ابراهيم سليم نجار","NA","NA","1197"
"ابراهيم شدودي","NA","NA","1198"
"ابراهيم شناسي","NA","NA","3154"
"ابراهيم طاسو","NA","NA","1199"
"ابراهيم عبد الغفار الدسوقي","NA","NA","4104"
"ابراهيم عبد القادر المازني","NA","NA","4105"
"ابراهيم عبد اللطيف","NA","NA","1200"
"ابراهيم عبد الملك","NA","NA","1201"
"ابراهيم عطا","NA","NA","1202"
"ابراهيم عوض عربيلي","NA","NA","1203"
"ابراهيم لطفي","NA","NA","1204"
"ابراهيم مصور","NA","NA","3155"
"ابراهيم ميخائيل جمال","NA","NA","1206"
"ابراهيم واكد","NA","NA","1207"
"ابراهيم يوسف عربيلي","NA","NA","1208"
"ابن ابي اصبعة","NA","NA","3173"
"ابن ابي اصيبعة","NA","NA","42"
"ابن الابار","NA","NA","43"
"ابن الاثير","NA","NA","44"
"ابن الحاجب","29665940","Q6533412","46"
"ابن الحناط","NA","NA","3174"
"ابن الحناط الكفيف","NA","NA","3175"
"ابن الخطيب المسمى بدر المنتخب","NA","NA","3176"
"ابن الخلدون","NA","NA","3177"
"ابن الرومية","NA","NA","3178"
"ابن الساعي","NA","NA","4243"
"ابن الشاطر","NA","NA","3179"
"ابن الشحنة","NA","NA","3180"
"ابن العراق","NA","NA","1298"
"ابن العميد","NA","NA","3181"
"ابن الفارس","NA","NA","3182"
"ابن الفرات","NA","NA","3183"
"ابن القيم الجوزية","NA","NA","3186"
"ابن باجة","226034628","Q11362","48"
"ابن بري","NA","NA","3187"
"ابن بسام","NA","NA","3188"
"ابن بطوطة","90635782","NA","49"
"ابن تميمية","NA","NA","3189"
"ابن جبير الاندلسي","NA","NA","3190"
"ابن جرير","9854001","Q192124","2868"
"ابن جني","NA","NA","3191"
"ابن حامد احمد بن محمد الاسفزاري","NA","NA","3192"
"ابن حجر","NA","NA","3193"
"ابن حجر العسقلاني","NA","NA","51"
"ابن حجر الهيتمي","NA","NA","3194"
"ابن حوقل","NA","NA","3195"
"ابن حيان","12696782","Q2745220","2867"
"ابن خرداذبة","NA","NA","3196"
"ابن خزيمة","NA","NA","52"
"ابن خلدون","41841661","Q9294","53"
"ابن خلكان","NA","NA","3197"
"ابن دريد","NA","NA","3198"
"ابن دريد الازدي","NA","NA","54"
"ابن رشد","19688718","Q39837","55"
