"id","name.Arab","name.Latn","place","lat","long","type"
"oape:59","Muʾassasat al-Maḥfūẓāt al-Waṭaniyya, Beirut (Centre des Archives Nationales)","Muʾassasat al-Maḥfūẓāt al-Waṭaniyya, Beirut (Centre des Archives Nationales)","Beirut","33.88894","35.49442","collection"
"oape:262","München BSB","München BSB","Munich","48.14751","11.58015","collection"
"oape:394","München Bayer. Akad. d. Wiss.","München Bayer. Akad. d. Wiss.","Munich","48.14112","11.57987","collection"
"oape:307","München IfZ","München IfZ","Munich","48.15676","11.54352","collection"
"oape:277","München UB LMU","München UB LMU","Munich","48.14970","11.58053","collection"
"oape:317","München UBTU","München UBTU","Munich","48.14865","11.56853","collection"
"oape:347","München ZI Kunstgeschichte","München ZI Kunstgeschichte","Munich","48.14435","11.56634","collection"
"oape:353","Münster Bibl. CRS und ZIT","Münster Bibl. CRS und ZIT","Münster","51.94742","7.62411","collection"
"oape:303","Münster Inst. Arab. Islam","Münster Inst. Arab. Islam","Münster","51.96505","7.62320","collection"
"oape:367","Münster Inst. Ethnol.","Münster Inst. Ethnol.","Münster","51.96925","7.61748","collection"
"oape:366","Münster Inst. Ägyptol Koptol","Münster Inst. Ägyptol Koptol","Münster","51.96486","7.62323","collection"
"oape:274","Münster ULB","Münster ULB","Münster","51.96286","7.62076","collection"
"oape:60","National Library of Israel","National Library of Israel","Jerusalem","31.76904","35.21633","collection"
"oape:61","Near East School of Theology / Maktabat Kulliyyat al-Lāhu­t li'l-Sharq al-Adnā, Beirut","Near East School of Theology / Maktabat Kulliyyat al-Lāhu­t li'l-Sharq al-Adnā, Beirut","Beirut","33.88894","35.49442","collection"
"oape:345","Neubiberg UniBundeswehr","Neubiberg UniBundeswehr","Neubiberg","48.08030","11.63840","collection"
"oape:334","Neuburg/Donau SB","Neuburg/Donau SB","Neuburg/Donau","48.72410","11.17850","collection"
"oape:66","New York Public Library","New York Public Library","New York City","40.71427","-74.00597","collection"
"oape:312","Nürnberg THB","Nürnberg THB","Nuremberg","49.45228","11.09360","collection"
"oape:412","Ohio State University","Ohio State University","Columbus","39.96118","-82.99879","collection"
"OpenArabicPE","OpenArabicPE","OpenArabicPE","NA","NA","NA","collection"
"oape:62","Orient-Institut Beirut","Orient-Institut Beirut","Beirut","33.88894","35.49442","collection"
"oape:346","Paris DFK","Paris DFK","Paris","48.86698","2.33568","collection"
"oape:331","Passau UB","Passau UB","Passau","48.56765","13.45281","collection"
"oape:63","Periodical collections at the al-Aqṣā Mosque Library in East Jerusalem","Periodical collections at the al-Aqṣā Mosque Library in East Jerusalem","Jerusalem","31.76904","35.21633","collection"
"oape:64","Perpustakaan Nasional - Indonasian National Library","Perpustakaan Nasional - Indonasian National Library","Batavia","-6.21462","106.84513","collection"
"oape:327","Potsdam UB","Potsdam UB","Potsdam","52.40823","12.97320","collection"
"oape:65","Princeton University","Princeton University","Princeton","40.34872","-74.65905","collection"
"oape:65","Princeton University","Princeton University","Princeton","40.34872","-74.65905","collection"
"oape:322","Regensburg OTHBR","Regensburg OTHBR","Regensburg","49.00324","12.09597","collection"
"oape:323","Regensburg SB","Regensburg SB","Regensburg","49.01850","12.09072","collection"
"oape:321","Regensburg UB","Regensburg UB","Regensburg","48.99802","12.09578","collection"
"oape:348","Rom Bibliotheca Hertziana MPI","Rom Bibliotheca Hertziana MPI","Rome","41.90534","12.48414","collection"
"oape:318","Rosenheim THSB","Rosenheim THSB","Rosenheim","47.86751","12.10740","collection"
"oape:311","Rostock UB","Rostock UB","Rostock","54.08689","12.13402","collection"
"oape:392","Saarbrücken FR Orientalistik","Saarbrücken FR Orientalistik","Saarbrücken","49.25379","7.04292","collection"
"oape:67","School of Oriental and African Studies Library, University of London","School of Oriental and African Studies Library, University of London","London","51.50853","-0.12574","collection"
"oape:68","St. Petersburg University Library, Russia","St. Petersburg University Library, Russia","St. Petersburg","59.93863","30.31413","collection"
"oape:69","Staatsbibliothek zu Berlin, Preußischer Kulturbesitz, Berlin","Staatsbibliothek zu Berlin, Preußischer Kulturbesitz, Berlin","Berlin","52.52437","13.41053","collection"
"oape:70","Stanford University, Hoover Library","Stanford University, Hoover Library","Stanford","37.42411","-122.16608","collection"
"oape:337","Stendal FHB","Stendal FHB","Stendal","52.61593","11.84789","collection"
"oape:270","Stuttgart WLB","Stuttgart WLB","Stuttgart","48.77734","9.18543","collection"
"oape:71","Süleymaniye Kütüphanesi, Istanbul","Süleymaniye Kütüphanesi, Istanbul","Istanbul","41.01384","28.94966","collection"
"oape:73","The Library of the American University in Beirut","The Library of the American University in Beirut","Beirut","33.88894","35.49442","collection"
"oape:74","The Library of the American University in Cairo","The Library of the American University in Cairo","Cairo","30.06263","31.24967","collection"
"oape:75","Translatio, Universität Bonn, Germany","Translatio, Universität Bonn, Germany","Bonn","50.73438","7.09549","collection"
"oape:75","Translatio, Universität Bonn, Germany","Translatio, Universität Bonn, Germany","Bonn","50.73438","7.09549","collection"
"oape:283","Trier UB","Trier UB","Trier","49.74795","6.67514","collection"
"oape:390","Tübingen Asien-Orient Islamw.","Tübingen Asien-Orient Islamw.","Tübingen","48.53062","9.07111","collection"
"oape:397","Tübingen Geogr. Inst.","Tübingen Geogr. Inst.","Tübingen","48.52412","9.05532","collection"
"oape:290","Tübingen UB","Tübingen UB","Tübingen","48.52492","9.06162","collection"
"oape:360","Tübingen Wilhelmsstift","Tübingen Wilhelmsstift","Tübingen","48.52125","9.05476","collection"
"oape:76","University of Baghdad","University of Baghdad","Baghdad","33.34058","44.40088","collection"
"oape:408","University of California","University of California","Los Angeles","34.05223","-118.24368","collection"
"oape:77","University of Haifa","University of Haifa","Haifa","32.81841","34.9885","collection"
"oape:413","University of Illinois","University of Illinois","Champaign","40.11642","-88.24338","collection"
"oape:407","University of Michigan","University of Michigan","Ann Arbor","42.27756","-83.74088","collection"
"oape:409","University of Minnesota","University of Minnesota","Saint Paul","44.94441","-93.09327","collection"
"oape:78","University of Pennsylvania Libraries","University of Pennsylvania Libraries","Philadelphia","39.95233","-75.16379","collection"
"oape:416","University of Texas","University of Texas","Austin","30.26715","-97.74306","collection"
"oape:79","University of Tokio, General Library","University of Tokio, General Library","Tokyo","35.6895","139.69171","collection"
"oape:80","University of Utah Library","University of Utah Library","Salt Lake City","40.76078","-111.89105","collection"
"oape:411","University of Virginia","University of Virginia","Charlottesville","38.02931","-78.47668","collection"
"oape:81","University of Washington Library","University of Washington Library","Seattle","47.60621","-122.33207","collection"
"oape:339","Vechta UB","Vechta UB","Vechta","52.72069","8.29589","collection"
"oape:363","Wien Univ. HB","Wien Univ. HB","Vienna","48.21328","16.36078","collection"
"oape:364","Wien Öster. Akad. Wiss.","Wien Öster. Akad. Wiss.","Vienna","48.20892","16.37720","collection"
"oape:374","Witzenhausen DITSL","Witzenhausen DITSL","Witzenhausen","51.34449","9.86046","collection"
"oape:308","Würzburg UB","Würzburg UB","Würzburg","49.78271","9.96899","collection"
"oape:82","Yale University Libraries","Yale University Libraries","New Haven","41.30815","-72.92816","collection"
"oape:304","ZMO","ZMO","Berlin","52.42807","13.20232","collection"
"oape:83","al-Maktaba al-Ẓāhiriyya, Damascus","al-Maktaba al-Ẓāhiriyya, Damascus","Damascus","33.5102","36.29128","collection"
"oape:260","İslamci Dergiler Projesi","İslamci Dergiler Projesi","Istanbul","41.01384","28.94966","collection"
