"source","target","person.id","person.name.Arab","person.name.Latn","edge.type"
"oclc:70845599","oclc:792755902","oape:878","كرد علي","Muḥammad Kurd ʿAlī","editor"
"oclc:70845599","oape:179","oape:878","كرد علي","Muḥammad Kurd ʿAlī","editor"
"oclc:70845599","oape:183","oape:878","كرد علي","Muḥammad Kurd ʿAlī","editor"
"oclc:70845599","oape:190","oape:878","كرد علي","Muḥammad Kurd ʿAlī","editor"
"oclc:70845599","oclc:70845599","oape:877","احمد كرد علي","Aḥmad Kurd ʿAlī","editor"
"oclc:70845599","oape:1731","oape:877","احمد كرد علي","Aḥmad Kurd ʿAlī","editor"
"oclc:70845599","oape:1731","oape:877","احمد كرد علي","Aḥmad Kurd ʿAlī","editor"
"oclc:1639361","oape:167","oape:713","جرجي زيدان","جرجي بك زيدان","editor"
"oclc:792754974","oclc:1034555409","oape:2808","ابراهيم اليازجي","Ibrāhīm al-Yāzijī","editor"
"oclc:792754974","oclc:173830042","oape:2808","ابراهيم اليازجي","Ibrāhīm al-Yāzijī","editor"
"oclc:792754974","oclc:173830042","oape:2817","زلزل","بشارة زلزل","editor"
"oclc:1022938052","oape:1925","oape:2805","احمد عارف الزين","احمد عارف الزين","editor"
"oclc:1034551122","oclc:792755094","oape:533","عيسى اسكندر المعلوف","ʿĪsā Iskandar al-Maʿlūf","editor"
"oclc:42900564","oclc:792755216","oape:787","احمد حسن طبارة","Aḥmad Ḥasan Ṭabbāra","editor"
"oclc:42900564","oape:95","oape:787","احمد حسن طبارة","Aḥmad Ḥasan Ṭabbāra","editor"
"oclc:42900564","oape:2023","oape:787","احمد حسن طبارة","Aḥmad Ḥasan Ṭabbāra","editor"
"oclc:42900564","oape:1978","oape:787","احمد حسن طبارة","Aḥmad Ḥasan Ṭabbāra","editor"
"oclc:42900564","oape:2102","oape:787","احمد حسن طبارة","Aḥmad Ḥasan Ṭabbāra","editor"
"oclc:42900564","oape:79","oape:4144","سعيد عقل","سعيد عقل","editor"
"oclc:42900564","oape:95","oape:4144","سعيد عقل","سعيد عقل","editor"
"oclc:42900564","oape:349","oape:4144","سعيد عقل","سعيد عقل","editor"
"oclc:987291181","oape:608","oape:305","بطرس البستاني","Buṭrus al-Bustānī","editor"
"oclc:987291181","oape:585","oape:305","بطرس البستاني","Buṭrus al-Bustānī","editor"
"oclc:987291181","oape:608","oape:307","سليم البستاني","Salīm al-Bustānī","editor"
"oclc:987291181","oape:615","oape:307","سليم البستاني","Salīm al-Bustānī","editor"
"oclc:792756327","oape:143","oape:579","جرجي نقولا باز","Jirjī Niqūlā Bāz","editor"
"oclc:1034550756","oape:1867","oape:555","حسن الناطور","حسن أفندي الناطور","editor"
"oape:39","oape:150","oape:980","محمد فريد وجدي","Muḥammad Farīd Wajdī","editor"
"oape:39","oape:1744","oape:980","محمد فريد وجدي","Muḥammad Farīd Wajdī","editor"
"oape:39","oape:2380","oape:980","محمد فريد وجدي","Muḥammad Farīd Wajdī","editor"
"oape:531","oape:41","oape:1845","سليمان الدخيل","سليمان الدخيل","editor"
"oape:531","oape:41","oape:1845","سليمان الدخيل","سليمان الدخيل","editor"
"oclc:1034555409","oclc:173830042","oape:2808","ابراهيم اليازجي","Ibrāhīm al-Yāzijī","editor"
"oape:45","oape:752","oape:825","سليم عنحوري","سليم عنحوري","editor"
"oape:45","oape:181","oape:825","سليم عنحوري","سليم عنحوري","editor"
"oape:45","oape:1949","oape:825","سليم عنحوري","سليم عنحوري","editor"
"oape:46","oape:60","oape:3339","محمد علي هبة الدين","السيد محمد علي هبة الدين","editor"
"oclc:792755902","oape:809","oape:3707","علي يوسف","ʿAlī Yūsuf","editor"
"oclc:792755902","oape:809","oape:4199","احمد مادي","Aḥmad Mādī","editor"
"oclc:792755902","oape:179","oape:878","كرد علي","Muḥammad Kurd ʿAlī","editor"
"oclc:792755902","oape:183","oape:878","كرد علي","Muḥammad Kurd ʿAlī","editor"
"oclc:792755902","oape:190","oape:878","كرد علي","Muḥammad Kurd ʿAlī","editor"
"oclc:1034548778","oape:1983","oape:459","عبد الغني العريسي","عبد الغني أفندي العريسي","editor"
"oclc:1034548778","oape:1970","oape:459","عبد الغني العريسي","عبد الغني أفندي العريسي","editor"
"oclc:1034548778","oape:2055","oape:459","عبد الغني العريسي","عبد الغني أفندي العريسي","editor"
"oape:48","oape:272","oape:936","شبلي ملاط","شبلي أفندي ملاط","editor"
"oape:48","oape:516","oape:2827","فيليكس فارس","فليكس فارس","editor"
"oclc:508226561","oclc:508226561","oape:4093","بشارة تقلا","بشارة تقلا","editor"
"oclc:508226561","oape:530","oape:4186","نجيب ابراهبم طراد","نجيب ابراهبم طراد","editor"
"oclc:508226561","oape:80","oape:1673","داود بركات","داود بركات","editor"
"oclc:508226561","oclc:1034541808","oape:1673","داود بركات","داود بركات","editor"
"oclc:508226561","oclc:1034541808","oape:635","نقولا حداد","نقولا أفندي حداد","editor"
"oclc:508226561","oape:80","oape:1673","داود بركات","داود بركات","editor"
"oclc:508226561","oclc:1034541808","oape:1673","داود بركات","داود بركات","editor"
"oclc:508226561","oape:137","oape:931","خليل مطران","خليل افندي مطران","editor"
"oclc:508226561","oape:236","oape:931","خليل مطران","خليل افندي مطران","editor"
"oclc:226234432","oclc:226234432","oape:935","نعوم مكرزل","نعوم أفندي مكرزل","editor"
"oclc:226234432","oape:1110","oape:935","نعوم مكرزل","نعوم أفندي مكرزل","editor"
"oclc:226234432","oape:1086","oape:935","نعوم مكرزل","نعوم أفندي مكرزل","editor"
"oclc:226234432","oape:1916","oape:935","نعوم مكرزل","نعوم أفندي مكرزل","editor"
"oclc:226234432","oape:1175","oape:935","نعوم مكرزل","نعوم أفندي مكرزل","editor"
"oclc:226234432","oape:1176","oape:935","نعوم مكرزل","نعوم أفندي مكرزل","editor"
"oclc:226234432","oape:1110","oape:935","نعوم مكرزل","نعوم أفندي مكرزل","editor"
"oclc:226234432","oape:1086","oape:935","نعوم مكرزل","نعوم أفندي مكرزل","editor"
"oclc:226234432","oape:1916","oape:935","نعوم مكرزل","نعوم أفندي مكرزل","editor"
"oclc:226234432","oape:1175","oape:935","نعوم مكرزل","نعوم أفندي مكرزل","editor"
"oclc:226234432","oape:1176","oape:935","نعوم مكرزل","نعوم أفندي مكرزل","editor"
"oclc:792755216","oape:95","oape:787","احمد حسن طبارة","Aḥmad Ḥasan Ṭabbāra","editor"
"oclc:792755216","oape:2023","oape:787","احمد حسن طبارة","Aḥmad Ḥasan Ṭabbāra","editor"
"oclc:792755216","oape:1978","oape:787","احمد حسن طبارة","Aḥmad Ḥasan Ṭabbāra","editor"
"oclc:792755216","oape:2102","oape:787","احمد حسن طبارة","Aḥmad Ḥasan Ṭabbāra","editor"
"oape:137","oape:236","oape:931","خليل مطران","خليل افندي مطران","editor"
"oape:518","oape:95","oape:1153","امين ناصر الدين","امين ناصر الدين","editor"
"oape:556","oape:1558","oape:1803","سعيد فاضل عقل","سعيد فاضل عقل","editor"
"oape:584","oape:582","oape:4871","François Bourgade","François Bourgade","editor"
"oape:648","oape:713","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:648","oape:702","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:648","oape:741","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:648","oape:684","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:648","oape:731","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:648","oape:639","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:648","oape:666","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:648","oape:691","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:648","oape:839","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:648","oape:700","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:648","oape:658","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:648","oape:797","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:713","oape:702","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:713","oape:741","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:713","oape:684","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:713","oape:731","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:713","oape:639","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:713","oape:666","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:713","oape:691","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:713","oape:839","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:713","oape:700","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:713","oape:658","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:713","oape:797","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:1885","oape:1888","oape:6347","عبد الرحيم صائب","ʿAbd al-Raḥīm Ṣāʾib","editor"
"oape:702","oape:741","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:702","oape:684","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:702","oape:731","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:702","oape:639","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:702","oape:666","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:702","oape:691","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:702","oape:839","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:702","oape:700","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:702","oape:658","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:702","oape:797","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:741","oape:684","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:741","oape:731","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:741","oape:639","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:741","oape:666","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:741","oape:691","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:741","oape:839","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:741","oape:700","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:741","oape:658","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:741","oape:797","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:1899","oape:2027","oape:5631","محمد صبحي عقدة","Muḥammad Ṣubḥī ʿAqda","editor"
